mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.924858809,0.287053291,0.554354715,0.079446446,1.00E-05,linear,"{'C': 1e-05, 'kernel': 'linear'}",0.115,0.225,0.21,0.115,0.115,0.156,0.050438081,9
2.047774363,0.374928112,0.516434002,0.116719608,0.0001,linear,"{'C': 0.0001, 'kernel': 'linear'}",0.115,0.225,0.21,0.115,0.115,0.156,0.050438081,9
2.073642159,0.153148367,0.385569525,0.021358514,0.001,linear,"{'C': 0.001, 'kernel': 'linear'}",0.725,0.765,0.745,0.74,0.735,0.742,0.013266499,8
0.595169115,0.47549007,0.284838724,0.013596245,0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",0.89,0.895,0.87,0.86,0.87,0.877,0.013266499,2
0.474730206,0.082471327,0.252326345,0.014221343,0.1,linear,"{'C': 0.1, 'kernel': 'linear'}",0.89,0.875,0.89,0.895,0.845,0.879,0.018275667,1
0.418680382,0.103212218,0.224200964,0.017171921,1,linear,"{'C': 1, 'kernel': 'linear'}",0.885,0.87,0.885,0.89,0.85,0.876,0.014628739,3
0.364224577,0.070326748,0.238362646,0.016230561,10,linear,"{'C': 10, 'kernel': 'linear'}",0.885,0.87,0.885,0.89,0.85,0.876,0.014628739,3
0.452586842,0.052988093,0.228589058,0.006352727,100,linear,"{'C': 100, 'kernel': 'linear'}",0.885,0.87,0.885,0.89,0.85,0.876,0.014628739,3
0.354651356,0.023113955,0.230981827,0.004660269,1000,linear,"{'C': 1000, 'kernel': 'linear'}",0.885,0.87,0.885,0.89,0.85,0.876,0.014628739,3
0.280851984,0.042440428,0.175930595,0.053057872,10000,linear,"{'C': 10000, 'kernel': 'linear'}",0.885,0.87,0.885,0.89,0.85,0.876,0.014628739,3
mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,,,,,,,,,,
1.779639482,0.038182689,0.594211769,0.028949213,0.001,,,,,,,,,,
1.42299633,0.131736817,0.574866867,0.048890657,0.001,,,,,,,,,,
1.405350924,0.143894104,0.52461257,0.02225557,0.001,,,,,,,,,,
1.248659563,0.114079824,0.56738615,0.073543742,0.001,,,,,,,,,,
1.76826725,0.197542617,0.515221643,0.023360074,0.01,,,,,,,,,,
1.167474842,0.168347339,0.522602367,0.032204971,0.01,,,,,,,,,,
1.048210907,0.131092248,0.494385099,0.017307573,0.01,,,,,,,,,,
1.010831928,0.097237178,0.544342041,0.097026998,0.01,,,,,,,,,,
1.583359718,0.0463387,0.545940256,0.0996308,0.1,,,,,,,,,,
1.431142282,0.476216589,0.8116117,0.243364408,0.1,,,,,,,,,,
1.991442537,0.174135472,0.53407526,0.111514847,0.1,,,,,,,,,,
1.079780388,0.160837066,0.493880749,0.031266643,0.1,,,,,,,,,,
1.456102848,0.082885235,0.511630583,0.03070783,1,,,,,,,,,,
1.08748951,0.109125761,0.507841301,0.029420858,1,,,,,,,,,,
0.82339797,0.128366498,0.464366388,0.032719123,1,,,,,,,,,,
0.879961634,0.082528872,0.491389608,0.018954864,1,,,,,,,,,,
1.475251055,0.106153133,0.525994492,0.016287799,10,,,,,,,,,,
1.015679932,0.088768643,0.478321886,0.015688872,10,,,,,,,,,,
0.382577419,0.062251339,0.311167383,0.021714278,10,,,,,,,,,,
0.647666645,0.083132617,0.29521265,0.034511994,10,,,,,,,,,,
